-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2143,2401,2451,2473,2524,2588,2562,2544,2564,2606,
Cascais,3896,4094,4113,4086,3956,3901,4005,4164,4139,4130,
Lisboa,4543,4714,4668,4587,4508,4335,4052,3915,4137,4109,
Loures,2430,2681,2700,2721,2767,2799,2771,2761,2769,2809,
Mafra,2043,2279,2349,2419,2421,2394,2449,2521,2526,2533,
Odivelas,2456,2558,2605,2541,2586,2597,2752,2729,2659,2660,
Oeiras,3321,3716,3735,3770,3843,3850,3874,3858,3883,3920,
Sintra,1907,2171,2263,2392,2485,2489,2528,2547,2606,2674,
VilaFrancaDeXira,1559,1812,1906,2006,2170,2184,2197,2219,2290,2331,
Alcochete,1618,1803,1862,1876,1900,1898,2012,2009,2033,2036,
Almada,2192,2466,2554,2565,2622,2663,2676,2677,2698,2723,
Barreiro,1243,1303,1496,1586,1712,1774,1804,1861,1893,1877,
Moita,1036,1146,1263,1334,1460,1455,1476,1516,1579,1640,
Montijo,1450,1653,1697,1761,1786,1777,1832,1888,1924,1917,
Palmela,1340,1610,1740,1811,1890,1908,1940,1960,1994,2014,
Seixal,1522,1764,1849,1894,1921,1916,1952,2023,2047,2054,
Sesimbra,1599,1863,2008,2081,2202,2172,2241,2295,2335,2321,
Setubal,1489,1755,1865,1978,2067,2069,2091,2130,2195,2219,
