-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2065,2301,2342,2368,2414,2471,2432,2430,2437,2469,
Cascais,3857,4008,4005,3855,3668,3584,3879,4074,4079,3913,
Lisboa,4488,4625,4557,4440,4339,4162,3604,3358,3853,4093,
Loures,2361,2541,2528,2550,2610,2600,2577,2556,2568,2577,
Mafra,2027,2252,2304,2366,2385,2359,2409,2456,2454,2450,
Odivelas,2455,2521,2530,2427,2395,2388,2652,2635,2598,2564,
Oeiras,3322,3670,3684,3735,3765,3763,3712,3724,3733,3728,
Sintra,1863,2083,2157,2268,2313,2309,2317,2451,2541,2593,
VilaFrancaDeXira,1559,1778,1843,1909,2044,2072,2089,2133,2163,2273,
Alcochete,1610,1778,1813,1826,1828,1813,2085,2004,1976,1982,
Almada,2178,2434,2498,2501,2539,2565,2587,2597,2620,2633,
Barreiro,1248,1308,1496,1589,1694,1750,1751,1806,1856,1886,
Moita,1036,1148,1270,1351,1455,1453,1510,1562,1610,1634,
Montijo,1437,1616,1676,1723,1749,1730,1802,1848,1859,1855,
Palmela,1347,1599,1717,1775,1831,1856,1888,1908,1934,1950,
Seixal,1510,1726,1790,1825,1870,1868,1881,1931,1954,1954,
Sesimbra,1598,1868,2000,2083,2196,2207,2294,2352,2296,2250,
Setubal,1486,1730,1832,1925,1990,1992,2025,2059,2073,2089,
