-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.554744983503086,8.184694658017598,8.465569723307896,8.374448888888889,8.186864647861437,8.049311403508773,8.136979413751712,7.7556525103973675,7.685874192629953,7.660302981540148,
Cascais,10.670754834742723,10.864078663848442,11.65730438735741,11.655320720680699,11.555025819022154,11.010171392139117,11.079758258258257,10.488907667715312,10.246086459089014,9.810216613041614,
Lisboa,11.52596190357464,12.280266267827043,12.480598480522216,11.757682208029198,11.45342500455696,10.926167857142856,11.017343013322405,10.491680547285378,10.381234451260507,10.2285873015873,
Loures,7.849614796117241,7.408357600731718,7.949171153996758,8.498198639757245,7.958662420401772,7.949728512282558,7.805656020064681,7.638990674603173,7.636489711934156,7.415943735923423,
Mafra,7.022262478798158,6.93998899463428,7.7553467348610186,8.00240425972806,7.459042932500012,8.365644432592163,8.234821191428871,7.9587894726792,8.635971832997312,7.871367089157342,
Odivelas,8.50614627045411,8.716438979818923,8.597354285714285,8.245975877784332,7.932968239812389,7.78589336503374,7.309937330912356,7.134912399020881,7.084422346281041,6.707805823563832,
Oeiras,9.582696040217671,9.49293864613214,10.27117893603561,10.8099676527213,10.685750178613521,10.912986721087556,10.407242686842718,10.178938287018964,9.857170511244298,9.846027335079038,
Sintra,7.201577379581077,7.397746251595097,8.088538542564887,8.320178288013567,8.585880171234818,8.39680479530949,7.9802994320309075,7.85373407200228,7.701862400348525,7.661889349891756,
VilaFrancaDeXira,6.897533013923028,6.886035563968041,7.712586168151825,8.064828028110044,7.950271775588972,8.041365229195568,8.200380752420768,8.159468675114956,7.941870987654321,7.740501225659917,
Alcochete,6.987079084944386,6.654239529187804,6.565284075450007,7.0434589263645435,6.6505387385350865,7.214931674929064,6.206510742105889,6.643379537861561,7.187222324397151,7.734937813301591,
Almada,8.416386945876246,8.660709939925647,9.147717270642394,9.19068905670487,9.011858309193023,8.935433267114668,8.738417112685557,8.325442365018153,8.176267218985208,7.89019944498081,
Barreiro,6.880422948182927,7.375583386547792,7.547531122746329,8.000701638867612,8.08888985987098,7.95396716781124,7.851415576198351,7.757327206054376,7.601441488138047,7.296013513513513,
Moita,5.792781292392084,5.9840826563911005,6.464850107379644,6.534922615807693,6.53384141943585,6.871241487847236,6.730687704225437,6.596502643590746,6.903018353958285,6.934311363967751,
Montijo,6.284935241911592,6.385573873662687,6.816238027046458,6.819437374280413,7.09204926136679,6.8571313641026,6.961576891412058,7.141701692242412,6.942240324017007,6.5663179184697835,
Palmela,6.265684560611593,6.2790487950106675,6.589989258718921,6.304524163712702,6.165343792109494,6.618062334346117,7.089191289871934,7.4456775812882,7.726470323305784,7.672336763759166,
Seixal,6.906643966172768,7.282884643247733,7.536181852476201,7.7790868675924285,7.786557832111596,7.650414279866575,7.478979430698905,7.7707857330202685,7.596272185366142,7.296628771035564,
Sesimbra,6.113758430012648,6.098984552380262,6.047511599573552,6.431495475113286,6.2797715529546245,6.448954237509417,6.563084952601136,6.970118038554104,7.436661771976627,7.876635142381268,
Setubal,6.708176651671794,7.10501733362539,7.433635256068534,7.953496482024148,7.836525816450963,7.940366907466306,7.55877631601302,7.432438542409319,7.403410228369398,7.117288503065702,
