-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.480686836640663,7.971234617786306,8.618341782900522,8.305736263233793,8.17231475876285,8.102913014407127,7.838696969696968,7.781751054852319,7.620477391431924,7.442945644732699,
Cascais,10.75423116414479,11.178995333200426,11.610698474274479,11.420076597294457,10.973277358772421,11.280204678362571,10.9449579949563,10.096973668851376,9.441856752399476,9.160505501662207,
Lisboa,11.434918939757338,12.022292046169452,12.484347447582865,11.974595911533482,11.360348639409928,11.11800903277304,10.926167857142856,10.599244318181817,10.526159235899456,10.016184821236171,
Loures,7.517628936331879,7.254076105350218,8.118223628691984,8.516443897336881,7.932742710258276,7.799572160517803,7.750820133665245,7.731945833333333,7.520885345332459,7.4858890306122445,
Mafra,6.645000275335462,6.959111745949645,7.136824580763223,8.133787293595537,8.50310921553638,8.572730851749213,8.273349096343598,8.143166150029518,7.980178865942028,7.4312466755319155,
Odivelas,8.181977304732614,8.322011525293627,8.25009619506093,8.137920249536855,7.673811278070341,7.476346430701081,7.44884658315174,7.384987142235193,6.8290411191874005,7.0642322643330635,
Oeiras,9.599601252313116,9.509963951528839,10.450078984909927,10.852895385724189,11.038731739494906,10.670915078080789,10.665245291544865,10.291156493458367,10.205970559644216,9.687843501859081,
Sintra,7.1002193233489495,7.614713869254872,8.424306947783023,8.401286318027143,8.19468813199712,7.934621379950808,7.726140516887133,7.726875737498945,7.659442234848484,7.6552158226760865,
VilaFrancaDeXira,6.874435862642548,7.130200713024585,7.584901182593856,7.86764903922802,7.878181118259095,7.9795134082064285,7.963535526315789,7.694519175170066,7.586314129365405,7.368582843478261,
Alcochete,6.114876592050069,6.304634715405784,6.681913763248201,6.368537195087197,6.3609251379028215,6.98528153926512,6.838350377090762,7.222781311505654,7.232498444179555,7.892502178899082,
Almada,8.602106327968334,8.450901132192936,9.377629367551746,9.18813975423322,9.090704542599974,8.713058684911177,8.749742000100346,8.10339931434599,7.957028448041975,7.837135964912281,
Barreiro,7.102837747828538,7.212806770486321,7.8772068954703585,7.848275286179472,7.839872711988302,7.841052822947699,7.6125629209691805,7.547883040887227,7.53103431372549,8.031243115188088,
Moita,5.900677355124141,6.170910616014114,6.555171334562176,6.6946119525239025,6.774000939853031,6.571999304406442,6.814833224321704,6.842200407293799,7.006066666666666,6.902255733745646,
Montijo,6.374264469416517,6.3974124298302195,7.0991895184173694,7.151388348929155,7.292246127537657,7.210712119479539,6.998289571837168,6.847468770149083,6.758526036633757,6.641671235410416,
Palmela,6.248461804342291,6.078400194417673,6.213287996591228,6.5563401167572275,6.821785354139118,7.077219278571862,7.7435361939331875,7.594322405859225,7.49595791884035,7.131972640745765,
Seixal,6.949599259075766,7.387923379067492,7.736926570985721,7.7585241775625375,7.807501782242278,7.863516078288839,7.644100262481665,7.502974541666666,7.328970574935834,7.305329980345976,
Sesimbra,6.051390377015569,6.208140107869784,6.365775370603146,6.1045893828988715,6.816491702971425,6.595081749825741,7.8956377102128545,7.901102099786815,7.432709248049916,7.264474030758855,
Setubal,6.697524220586892,7.154332364655172,7.526646341463414,7.722254220853259,7.773424241169978,7.653818020072989,7.3163894170265795,7.212715214581175,7.0495370370370365,6.917607126085241,
