-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.554744983503086,8.184694658017598,8.465569723307896,8.374448888888889,8.186864647861437,8.049311403508773,8.136979413751712,7.7556525103973675,7.685874192629953,7.660302981540148,
Cascais,10.670754834742723,10.864078663848442,11.65730438735741,11.655320720680699,11.54799865633569,11.068672316384179,10.893578519288578,10.447556060447148,9.972529979140342,9.090259530755294,
Lisboa,11.368549323948628,11.939098737595893,12.603439691999549,11.896975741417151,11.515416373754693,10.854394320456297,10.802438241071428,10.67079323262919,10.84725396825397,10.334870381417879,
Loures,7.849614796117241,7.408357600731718,7.949171153996758,8.498198639757245,7.958662420401772,7.949728512282558,7.805656020064681,7.638990674603173,7.636489711934156,7.415943735923423,
Mafra,7.022262478798158,6.93998899463428,7.7553467348610186,8.00240425972806,7.459042932500012,8.365644432592163,8.234821191428871,7.9587894726792,8.635971832997312,7.871367089157342,
Odivelas,8.50614627045411,8.716438979818923,8.597354285714285,8.245975877784332,7.932968239812389,7.78589336503374,7.309937330912356,7.134912399020881,7.084422346281041,6.707805823563832,
Oeiras,9.430312871064517,9.71243772455658,10.560325742136001,11.033621431294744,10.918379739367477,10.954283633249862,10.580915531609195,10.342462607142858,9.894499635372362,10.00454054054054,
Sintra,7.208503486920936,7.602375993763556,8.029990330825544,8.286867026144455,8.373618372491132,8.087843990934184,8.216310412204264,7.856395336996339,7.687362573938252,7.64470771978814,
VilaFrancaDeXira,6.897533013923028,7.129425675987912,7.837817520934129,7.78577874422041,7.998229376104435,8.074847400905158,8.051787183250012,8.215322251223046,7.88807510733385,7.745533768176266,
Alcochete,6.987079084944386,6.654239529187804,6.565284075450007,7.0434589263645435,6.6505387385350865,7.214931674929064,6.206510742105889,6.643379537861561,7.187222324397151,7.734937813301591,
Almada,8.416386945876246,8.660709939925647,9.147717270642394,9.19068905670487,9.011858309193023,8.935433267114668,8.738417112685557,8.325442365018153,8.176267218985208,7.89019944498081,
Barreiro,6.914561103401369,7.288033713712085,7.55104030574427,8.073530343279987,7.96824926048552,8.042283037472878,7.873068090921184,7.696010144900507,7.647131445691469,7.323162938612547,
Moita,5.838150389786494,6.031703235485717,6.637322712773031,6.46293373716587,6.5898487577142655,6.684377210278004,6.919839124252925,6.928922271927777,6.814114711786357,6.739802174792303,
Montijo,6.284935241911592,6.385573873662687,6.816238027046458,6.819437374280413,7.09204926136679,6.8571313641026,6.961576891412058,7.141701692242412,6.942240324017007,6.5663179184697835,
Palmela,6.265684560611593,6.000451977937242,6.094510002596389,6.120311876573125,6.4220640687501085,6.416613636836746,7.2687428576362905,7.6392590818299615,7.576522942837419,7.587505971605749,
Seixal,6.906643966172768,7.282884643247733,7.536181852476201,7.7790868675924285,7.786557832111596,7.650414279866575,7.478979430698905,7.7707857330202685,7.596272185366142,7.296628771035564,
Sesimbra,6.113758430012648,6.264005558131269,6.290932746160137,5.860587596974268,6.739825682332125,6.398260329301681,6.937837801585203,7.01209313861261,7.915356537909961,7.771986964285714,
Setubal,6.708176651671794,7.11853087683572,7.617379007284087,7.932659692256833,7.8914138438119945,7.459572147016096,7.483278718847352,7.2361065461625245,7.010180482603663,7.320622106481477,
