-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.802792493510651,8.15887407961253,8.476197932645034,8.486076680013232,8.155929957599477,8.065259696276932,8.050773727144865,7.729313313302906,7.888203203038184,7.380263798846569,
Cascais,10.56417162824414,11.139147727201815,11.926306562499995,11.73105551742174,11.14051025402074,11.198046687247716,10.686529308098747,10.395608122561462,10.34094217391304,9.879206666907656,
Lisboa,11.362502741055756,12.171544674557657,12.515286137765411,12.248209722222223,11.49227606990085,11.062540617080082,10.926397799295774,10.708153124999997,10.622663194444444,10.364649966359442,
Loures,7.914494838312969,7.440818633050953,8.123116407524156,8.51557099059648,8.191138871372459,8.085372565080464,8.079440508634912,7.984521022875251,7.82630897066886,7.517527561994136,
Mafra,6.56521729457839,7.005605254647747,7.860294084833493,8.569515085711704,8.424969998494912,8.135826425567208,8.635812123876875,7.799786940104165,8.242446120689655,7.777134535173863,
Odivelas,8.516884822385444,8.981269654834737,8.512223813670653,8.244754454316608,7.893770077818513,7.547982223491127,7.150011391545807,7.019604761904762,6.8305437116413525,6.5604135485145285,
Oeiras,9.81883689221261,9.807986460295409,10.429173334085622,10.9571790230286,11.014457710813533,10.661835910601392,10.464763257507478,9.963487650930995,9.672111221200186,9.24301544713019,
Sintra,7.288696686590323,7.519978070175437,8.394405417726983,8.4233926215296,8.42556214499588,8.30746337536107,8.193968438825568,7.800538928571429,7.621206054687501,7.713086971861427,
VilaFrancaDeXira,6.854745994506749,7.130750962900511,7.877512857179372,7.865712519098325,8.113728280917048,8.00298303274759,7.93338485767796,8.11894965234225,7.808886256218903,7.848893069727891,
Alcochete,6.710120064470596,6.397145625611766,7.010101975743032,7.557134670993553,6.589955661149694,6.539520842157377,6.4998977473409,7.005169516232229,7.026530585289128,7.3968265476555075,
Almada,8.732380746393124,8.700633784132892,9.517156076652071,9.4159585155281,9.031974701596546,8.627504901960783,8.482502222222223,8.233841366534087,7.892033297195756,7.869453093054933,
Barreiro,6.945050553346906,7.417785500770976,7.643779787529738,7.814503191326522,8.019825169784264,7.798450631674871,8.027224309307956,7.75562967096743,7.794473097162292,7.548178571428571,
Moita,5.807270368659547,6.133506147154708,6.564938374455156,6.5167746369220545,6.714304980043687,6.798348670359269,6.762277303652997,6.982305203594305,6.7679295482218444,6.9595222876397465,
Montijo,6.404010523688022,6.345257613052957,6.751251802291858,6.971250855187399,7.176388979651152,6.946239804895526,7.036552291736722,6.616225021557843,6.698235052722584,6.681914985874144,
Palmela,6.202183110317359,6.014202536147832,5.990981231077382,6.418956532110978,6.636706010043093,6.813039970572382,7.634752010031235,7.710393585917548,7.406386354999,7.7542009,
Seixal,6.954238185862079,7.447116398106468,7.517876870791567,7.823414488857593,7.6648603845452135,7.598964326341081,7.645695870818439,7.566847264957265,7.457847464394658,7.366031837342424,
Sesimbra,6.051190644124952,6.222931746835229,6.142649913848531,6.132191569010416,6.492231111296424,6.597700962772066,7.036842226675433,6.992376152311929,7.316508700422977,7.39484871591208,
Setubal,6.962166707552811,7.332946753365612,7.678028646380895,7.9106981997038,7.849621595666054,7.799409522429794,7.58790284449355,7.302977546553941,7.459923403005776,7.213867209329657,
