-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.506678659976426,8.336365751247127,8.763552419293594,8.64613279626138,8.569383987571069,8.341056416840756,8.370403605682295,8.213235492683504,8.027217317850326,7.939672843981466,
Cascais,10.688901558798111,11.18748895832837,11.858456956954994,11.393536486625873,11.224674257330248,11.064189520386027,10.971829188701804,10.547830506119443,10.016423233928004,9.24403529023693,
Lisboa,11.329174217889395,11.869957166188454,12.274189176392515,11.744273253467844,11.21825534321452,10.862828449908363,10.69578881392948,10.382300644174833,10.248557291666668,9.833963167914906,
Loures,7.68760862749536,7.468767101793562,8.041659333334348,8.584972185411505,8.432996009733452,8.157262092510887,7.941715535863365,7.977873075478845,7.842615866087735,7.803415893817864,
Mafra,6.653781132669523,6.458735966200641,8.292880706313575,7.885473552029943,8.299337490091885,8.524408450704225,8.435412803820084,8.346383752675841,7.7167179209113765,7.579680933877066,
Odivelas,8.379749023387305,8.706890814491663,8.220077854490956,7.8727974444416695,7.751768859432111,7.575128077068802,7.186191056910569,7.2005119147926395,6.8220882047221565,6.754678294573643,
Oeiras,9.665579280841964,10.033003836698667,10.57589105631443,10.977673448714908,11.13767259562183,10.971367195568334,11.094965123302712,10.273045734560625,10.064860637348316,9.844821709596836,
Sintra,7.1903343268764655,7.615060227272727,8.067665974224962,8.213950678764744,8.217824497792638,8.168441092451479,7.8203220059433445,7.799244462746944,7.817421875,7.515513994746271,
VilaFrancaDeXira,6.918804729584142,7.004229454689901,7.549077755398268,7.891509442931904,7.979082320193958,7.9419764358235465,8.040816447509734,7.894782196454302,7.836094378777262,7.740587180040537,
Alcochete,7.002715677671449,6.362565775780377,6.643491861638813,6.785760342269051,6.91923270032574,6.864547159755567,6.266801452074834,7.798531430604622,7.1222071068789425,7.672051767676767,
Almada,8.477944326281449,8.660598103153315,9.262926119156448,9.3400165710588,9.228717351473282,8.84406717252966,8.832344907930938,8.41175092234102,8.335142893093439,8.317258126267571,
Barreiro,6.865159288162738,7.489758456537541,7.490235848300895,7.806776079578329,8.033179006742769,7.8399592094076365,7.901087000231198,7.761793607653143,7.760478611505052,7.637671202857266,
Moita,5.790199801865487,6.057973003673282,6.534080825799418,6.4702973285219585,6.629193338965887,6.753264487744597,6.83677489843039,6.787577559444541,6.974247512809452,7.032599375897326,
Montijo,6.477479872443087,6.388481837448109,6.899940402176996,7.000135973290504,7.241761525788763,7.1016479363961,6.98314975702347,6.946931503898439,6.922428648416133,6.579449080689988,
Palmela,6.134892767747649,6.175121815988163,6.49337884279023,6.225425244814661,6.5991424777171215,6.923819963819082,7.145762850467289,8.17191407473256,7.564441361324063,7.771237037475943,
Seixal,6.925930680655014,7.491619162052108,7.723147583049519,7.852302530791313,7.731617723633246,7.7523234214567225,7.830598442814512,7.747099609375,7.5903629325473645,7.335583861194672,
Sesimbra,6.443050179211469,6.066507122660584,6.191166668940399,6.35572500241337,6.651171416716268,6.780018542272377,6.8639253113699645,7.151494375206613,7.256541906740181,7.6446928088800306,
Setubal,6.797932489286099,7.150648029195719,7.559651895740991,7.690643967860865,7.761743365066324,7.612599188661922,7.290174079512372,7.260999999999999,7.268456350992977,7.0674923632276805,
