-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,8.645087188740154,8.35771949734248,8.465548824248389,8.500434210526315,8.253199384548068,7.906145833333332,7.927189131011956,7.750763436361773,7.373091324200914,7.294224507450436,
Cascais,10.612963367219463,11.113768031739125,11.454222446151896,11.62680071076937,11.323735017420983,11.238699330028222,10.773862803326583,10.62544715600775,9.908718184013974,9.243637149968002,
Lisboa,11.56272148405617,12.289619356684245,12.410756428689456,11.837816603535353,11.214542329108411,10.772155806304516,10.459313151179472,10.894884368279754,10.491094718698054,10.239621079881656,
Loures,7.7453967961579435,7.469370392805034,7.953779116465863,8.320273140421758,8.200761484145788,8.10968875039434,7.739322701294922,7.572671674758834,7.600965995510782,7.393328627599825,
Mafra,7.022262478798158,6.93998899463428,7.514326374967193,7.792277537660933,8.230766478939971,8.200066463904168,8.544362774576516,8.360098687054835,8.232559530720694,7.3825374162832045,
Odivelas,8.501420813253603,8.819648501760904,8.427911790874113,8.183421296296295,7.887982440476191,7.676815698297069,7.51436403508772,6.830116840277777,7.0149238797980855,6.830589041095891,
Oeiras,9.528197754149442,9.5819667281187,10.288555923992309,10.570047129729407,11.010219805776407,10.889926247013353,10.746620211291162,10.137846173367357,9.813256172839505,9.62242759719698,
Sintra,7.136263307346611,7.437887183812225,7.983472348722201,8.318878436074487,8.25278418461215,8.407373033607112,8.132369491221029,7.807703403189095,7.77665757978723,7.51499665327385,
VilaFrancaDeXira,6.926399004878476,6.846032665020035,7.6657720731657655,7.740499555555554,8.009673300072361,7.946596080233609,7.914394840424565,7.951885422657259,7.8450008908461,7.779733389971644,
Alcochete,6.987079084944386,6.654239529187804,6.565284075450007,6.736704011000895,6.666770810774294,7.169947634541457,6.5923180011902325,7.425048726799843,7.011879106763496,7.018068363195659,
Almada,8.519271542676771,8.645010793191098,9.173098770674144,9.006715659293338,9.095983876679085,8.910065972163627,8.574952944186174,8.304260897867527,8.083017486410748,8.094840450407915,
Barreiro,6.880422948182927,7.3851623942762705,7.531446123201798,7.780355695142863,8.128945607270307,7.809382377824636,7.847405314145234,7.553873386446325,7.649195020684985,7.410545383520902,
Moita,5.792781292392084,5.990364985316016,6.420503384773415,6.689586201203454,6.613308848032259,6.826065942726679,6.868132674644019,6.877894545454545,6.818966585383496,6.81791710872617,
Montijo,6.284935241911592,6.385573873662687,6.931804526999649,6.909123233940654,7.045520263198635,7.207893536277362,7.203552843381404,6.915101019884859,6.866107014497057,6.8861512754378955,
Palmela,6.265684560611593,6.2790487950106675,6.5071242672919745,6.307176585897553,6.2343785736511785,6.617005810598155,7.105698038021526,7.80371855842042,7.474292678933724,7.288289110626868,
Seixal,6.865144131621655,7.387123991477374,7.6175027720558095,7.774289693648407,7.761759616038086,7.790660741165207,7.763007384808828,7.824793233784308,7.541241071428571,7.325580424158696,
Sesimbra,6.113758430012648,6.098984552380262,6.047511599573552,6.431495475113286,6.2797715529546245,6.448954237509417,6.602884533346474,6.958367294180444,7.319970550985184,7.826547955389145,
Setubal,6.6625552440169,6.982588483453411,7.779707322493915,7.707937392152042,7.780245575787456,7.519290227141204,7.42365793416529,7.547684968847352,7.137552227310112,7.1644995818683865,
