-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Amadora,0.0,0.24691358,0.6847826,0.6666667,0.85714287,0.8965517,0.5862069,0.54545456,0.7407407,0.9230769,0.81,0.9591837,1.2,1.9,1.7222222,1.7333333,1.288,0.86206895,1.408,0.4117647,0.49333334,0.114035085,0.05376344,0.056338027,0.026785715,0.039215688,0.032967035,0.09615385,0.0625,0.01980198,0.04464286,0.05982906,0.068627454,0.07692308,0.12222222,0.030534351,0.14414415,0.1570248,0.06382979,0.04901961,0.047169812,0.11111111,0.1,0.114285715,0.05147059,0.053030305,0.025210084,0.053030305,0.052173913,0.0,0.06122449,0.02173913,0.0,0.0,0.010309278,0.022727273,0.0125,0.036144577,0.027522936,0.01923077,0.008130081,0.011363637,0.067226894,0.010869565,0.0,0.017857144,0.014705882,0.042016808,0.04225352,0.029126214,0.01754386,0.0,0.01923077,0.032608695,0.03809524,0.009345794,0.026086956,0.05,0.0088495575,0.01980198,0.008695652,0.008064516,0.031746034,0.023622047,0.007633588,0.05172414,0.0,0.036036037,0.04901961,0.021276595,0.012820513,0.014084507,0.060150377,0.027777778,0.04477612,0.016666668,0.0070921984,0.012048192,0.03448276,0.04761905,0.0,0.025157232,0.012578616,0.048387095,0.02259887,0.026490066,0.020134227,0.005882353,0.016666668,0.0397351,0.01764706,0.036363635,0.019354839,0.036809817,0.050955415,0.010256411,0.030120483,0.022346368,0.041025642,0.047393367,
Cascais,0.0,0.26190478,0.671875,1.0298507,1.0062894,1.0670391,1.3033708,1.2216495,1.5279188,1.747619,1.6648936,1.3251232,1.385621,1.7971015,1.755102,1.687898,1.2159624,1.6666666,1.652439,1.6809816,1.1321839,2.314917,1.2032967,1.0327868,0.78145695,0.8130841,0.8351064,0.69714284,1.1768292,0.87573963,2.130137,0.94708997,1.4939759,1.5572139,1.1616766,1.1396648,1.9269663,1.6255708,1.6397849,1.6542553,2.25,1.3709677,2.0886075,2.0534759,2.5542858,1.9392524,2.8421052,2.4940476,2.3819742,2.8267326,2.8,2.8220859,2.6328502,3.1060605,3.4709303,3.174107,3.9043062,3.6294417,3.6742857,3.057143,2.6294117,3.1145833,4.280374,2.639485,3.153439,3.0380952,2.803653,3.21875,3.8628318,5.4421053,5.112676,3.963964,5.4101124,4.7109003,5.798913,5.6747966,4.5833335,5.5078535,4.4723926,4.423256,3.1674008,4.849741,5.2222223,4.5852532,3.4663866,4.25,6.3333335,5.234657,4.7904763,6.679803,7.9455447,4.719512,4.848485,5.756477,3.5294118,4.47541,4.609649,4.882653,5.865116,4.5317073,4.959821,4.6382113,4.46383,4.675676,5.1066666,5.4723406,5.121076,6.0331755,6.4533334,6.7022223,5.5135136,5.6923075,5.9618645,5.7081547,4.846473,5.2459016,5.417004,4.9382715,5.3624454,7.4618835,
Lisboa,0.0,0.07856192,0.19350074,0.35538262,0.55813956,0.6945813,0.86534655,0.8029613,1.0900141,1.3888268,1.2182741,1.216854,1.1100591,1.1366314,1.236534,0.89192396,0.99365485,0.9485777,1.3551532,1.5098493,1.325,1.5876043,1.8524591,2.582725,1.8208517,2.017663,1.7186667,1.7144523,1.6911281,1.5522388,1.9219512,1.9410378,1.6211112,1.5953678,1.5146667,2.1987178,2.2922885,2.5232975,2.5889487,2.7717679,2.4634147,2.9532595,2.9844155,3.5464191,3.3923883,3.3365786,3.3738317,4.036437,4.9879622,4.3838267,4.577859,6.055199,6.451204,5.0997653,5.8969326,5.8799534,6.664565,6.0209546,5.8234596,5.9247575,6.252761,6.221527,6.5294943,6.67,6.675676,6.8172803,7.6902986,8.212599,9.081119,7.4913297,9.158768,8.142484,10.323208,9.787879,9.968622,9.533496,9.517491,9.820446,10.700629,11.315485,11.565583,11.76406,11.654696,11.915816,12.520862,13.25223,13.620957,14.593549,14.969915,14.892994,12.47733,14.451815,14.035803,13.380571,12.331701,13.077206,11.907515,13.103368,14.993655,11.443529,14.210843,14.776062,13.23013,14.931242,14.05623,14.441734,14.194976,13.357142,15.063073,16.090523,15.666667,17.11551,14.894616,10.758082,14.007444,15.128173,15.799159,16.966013,15.534404,16.705883,
Loures,0.0,0.3553719,0.72380954,0.8,0.86624205,1.0206896,1.5294118,1.0986842,1.4758065,1.4699453,1.2236025,0.9497207,0.83229816,0.7948718,1.2391304,1.7225131,1.9492754,1.5220126,1.1028571,1.3793104,1.2706767,0.5074627,0.48245615,0.40123457,0.1292517,0.11029412,0.11666667,0.13571429,0.12857144,0.26605505,0.0794702,0.12987013,0.083333336,0.26455027,0.2327044,0.1497006,0.21875,0.28350514,0.15425532,0.14204545,0.23529412,0.40350878,0.21511628,0.19101124,0.10404624,0.38857144,0.35675675,0.18604651,0.26732674,0.14117648,0.2393617,0.17714286,0.16969697,0.078947365,0.105960265,0.17142858,0.12352941,0.147651,0.18562874,0.12571429,0.0882353,0.047368422,0.057894737,0.13953489,0.11734694,0.070063695,0.12345679,0.15294118,0.1299435,0.09259259,0.11042945,0.11764706,0.12578617,0.02739726,0.07647059,0.050847456,0.17045455,0.16025642,0.04761905,0.13372093,0.15418503,0.13227513,0.07453416,0.16959064,0.15873016,0.23809524,0.086021505,0.115606934,0.12154696,0.15228426,0.05232558,0.08108108,0.01604278,0.1299435,0.09547739,0.07777778,0.11167513,0.10759494,0.11627907,0.039473683,0.046242774,0.08163265,0.13953489,0.21052632,0.08755761,0.097222224,0.06763285,0.08252427,0.10784314,0.107317075,0.19396552,0.20634921,0.17446809,0.09677419,0.22083333,0.19796954,0.20187794,0.17777778,0.21317829,0.17721519,
Mafra,0.0,0.6666667,1.2083334,1.8679246,2.255319,2.1875,3.0394738,3.1046512,2.744681,1.5633802,2.086207,2.2191782,1.8421053,1.0163934,1.2419355,0.19117647,0.26229507,0.2682927,0.66,0.7627119,0.0,0.6226415,0.10714286,0.38,0.37037036,0.027027028,0.0,0.046875,0.36734694,0.0,0.0,0.07594936,0.0,0.07017544,0.0754717,0.050847456,0.08695652,0.16071428,0.033333335,0.03125,0.06557377,0.0,0.031746034,0.04761905,0.11320755,0.039215688,0.11666667,0.013513514,0.036363635,0.12244898,0.23214285,0.08928572,0.06153846,0.014925373,0.41666666,0.11666667,0.0,0.02,0.018867925,0.016666668,0.0,0.060606062,0.018181818,0.025,0.125,0.09090909,0.01724138,0.036363635,0.09090909,0.19298245,0.22058824,0.15384616,0.21621622,0.15730338,0.4084507,0.43333334,0.4,0.2247191,0.15714286,0.2,0.37333333,0.2682927,0.3392857,0.43055555,0.2777778,0.3125,0.61538464,0.859375,0.55,0.18055555,0.09090909,0.1764706,0.15,0.15463917,0.16666667,0.4025974,0.103896104,0.18666667,0.3970588,0.14606741,0.2278481,0.23404256,0.25714287,0.11764706,0.16129032,0.18181819,0.13157895,0.20588236,0.19387755,0.2857143,0.29268292,0.35955057,0.20930232,0.2804878,0.23880596,0.41025642,0.2658228,0.6,0.23943663,0.22222222,
Odivelas,0.0,0.44594595,0.8414634,1.2272727,1.440678,1.5530303,2.237705,2.1506848,2.1005292,2.6276596,2.5531914,2.2347417,2.4114287,2.4236453,2.0360825,2.2585034,1.7080746,1.8277777,1.9364161,2.2925532,1.7830688,1.368984,1.5240642,1.451613,1.0451612,1.9883721,1.4313725,1.2344828,1.7219251,1.3558282,1.3975904,2.0517242,1.931217,2.0,2.3146067,1.9440994,2.1382115,2.3883495,2.5376344,2.4713376,3.0886075,1.9719101,2.9820359,2.1242938,3.157068,2.393204,3.7191012,2.461078,4.585366,3.3755867,3.7581396,3.017857,2.859375,1.6650246,2.326203,2.4023669,1.9323672,2.0555556,2.1491714,2.2185793,2.3965516,2.64,1.4772727,1.5555556,1.703125,1.5136611,1.882353,1.5578947,3.7642858,1.8321679,1.9517242,1.3452381,1.3236995,2.310559,5.1153846,1.1960784,2.7960527,0.83431953,1.3622448,1.1879195,1.2230769,1.3517241,0.6453901,0.24561404,0.23972602,0.33070865,0.51492536,0.47407407,0.45517242,0.62142855,0.46478873,0.7080292,0.48965517,0.5611111,0.5,0.27659574,0.46341464,0.45398772,0.39106146,0.61349696,0.7246377,0.6868132,0.6815643,0.5212121,0.8083832,0.8224852,0.81142855,1.0274725,1.0066226,0.9506173,1.2,1.1621622,0.9855769,1.0805687,1.1804124,0.6585366,0.86627907,0.96875,1.1907514,1.0869565,
Oeiras,0.0,0.08208955,0.16091955,0.47368422,0.51,0.5531915,0.63,0.5588235,0.9285714,0.57272726,0.9404762,1.0594059,1.273585,0.94,1.050505,0.8727273,1.2105263,1.0256411,0.5411765,0.5504587,0.38947368,0.09195402,0.11904762,0.083333336,0.024390243,0.09090909,0.04494382,0.13580246,0.02173913,0.09677419,0.093333334,0.018018018,0.07476635,0.029411765,0.20338982,0.117117114,0.12280702,0.24324325,0.14545454,0.13186814,0.17857143,0.119266056,0.12903225,0.26495728,0.07526882,0.39449543,0.2248062,0.21014492,0.28104576,0.125,0.29496402,0.16666667,0.08759124,0.047945205,0.25641027,0.13445379,0.23972602,0.14814815,0.14285715,0.1595092,0.31707317,0.2300885,0.10948905,0.15189873,0.24827586,0.29007635,0.38297874,0.13605443,0.2260274,0.16666667,0.48051947,0.29452056,0.24855492,0.43589744,0.265625,0.41304347,0.42307693,0.19014084,0.10967742,0.3275862,0.3649635,0.22047244,0.23387097,0.2867647,0.18045112,0.12230216,0.19594595,0.15833333,0.18656716,0.17142858,0.28275862,0.25925925,0.16666667,0.18382353,0.1119403,0.1923077,0.57763976,0.24324325,0.40449437,0.275,0.25165564,0.3508772,0.2875,0.310559,0.2857143,0.4390244,0.3642384,0.44508672,0.59659094,0.3806818,0.29508197,0.5254237,0.40104166,0.67368424,0.5895954,0.61170214,0.48369566,0.61494255,0.5058824,0.67420816,
Sintra,0.0,0.41530055,0.3392857,0.42105263,0.68503934,0.6666667,1.0202702,0.8857143,1.1586207,0.9748428,0.8278146,0.6142857,0.2881356,0.07971015,0.07692308,0.041322313,0.0625,0.0,0.02112676,0.009708738,0.016393442,0.008130081,0.0,0.008474576,0.0,0.0088495575,0.0,0.0,0.02097902,0.006849315,0.0091743115,0.0,0.007751938,0.0,0.00862069,0.0,0.00729927,0.013333334,0.0,0.0,0.0,0.01724138,0.0,0.0,0.0,0.0,0.0,0.006849315,0.0,0.007751938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362694,0.03448276,0.0052083335,0.004950495,0.0,0.0058139535,0.0,0.0051282053,0.0,0.004716981,0.011173184,0.0,0.0045045046,0.022988506,0.0,0.0,0.0,0.0,0.0,0.005319149,0.0,0.015957447,0.013043478,0.0,0.0,0.0,0.0,0.0,0.0040983604,0.0045045046,0.0,0.0,0.01968504,0.003968254,0.004132231,0.004255319,0.0036101083,0.0,0.0033670033,0.0074074073,0.0036764706,0.0,0.003125,0.008902078,0.0,0.0028901733,0.0,0.00862069,0.007075472,0.002444988,0.0,0.0045045046,0.012626262,0.029612755,0.004524887,0.014522822,0.02112676,0.0,0.010126582,0.023640662,0.0,0.01686747,
VilaFrancaDeXira,0.0,0.9375,1.6764706,1.4647887,1.5348837,1.4363636,0.8695652,0.95454544,0.78,1.5294118,2.0625,1.1272727,0.81395346,0.9259259,0.22916667,0.078947365,0.041666668,0.0,0.027777778,0.0,0.05882353,0.0,0.0,0.027027028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016393442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012820513,0.0,0.0,0.0,0.0,0.06521739,0.018867925,0.0,0.0,0.0,0.0,0.010752688,0.0,0.0,0.0,0.0,0.010989011,0.0,0.0,0.0,0.011235955,0.010416667,0.0,0.0,0.011627907,0.022222223,0.0,0.0,0.0,0.0,0.025423728,0.0,0.006666667,0.0,0.0,0.0,0.012121212,0.0,0.0,0.0,0.0069444445,0.0,
Alcochete,0.0,1.0,1.2,2.0,2.45,3.1052632,3.8181818,2.7027028,3.9285715,3.1333334,2.580645,1.1764706,0.9411765,0.5555556,0.6111111,0.15,0.0,0.0,0.05882353,0.0,0.055555556,0.0,0.083333336,0.11111111,0.2173913,0.44444445,0.2857143,0.29166666,0.14285715,0.0952381,0.22727273,0.24,0.35714287,0.5833333,0.16666667,0.61290324,0.22222222,0.45833334,0.2173913,0.35714287,0.3846154,0.9166667,0.3448276,0.8333333,0.21428572,0.6666667,0.35714287,1.0,0.8,0.1904762,0.14285715,0.4,0.1875,0.18181819,0.0,1.0,0.05882353,0.0,0.06666667,0.4,0.36363637,0.0,0.14285715,0.1,0.41666666,0.11111111,0.2,0.21428572,0.2,0.14285715,1.4,0.0,0.1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.06666667,0.0,0.11111111,0.09090909,0.36363637,0.11111111,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333336,0.0,0.0,0.07692308,0.07692308,0.0,0.03846154,0.0,0.0,0.05,0.0,0.13636364,
