-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Amadora,0.0,0.30555555,0.54651165,0.82828283,0.6111111,0.36708862,0.77319586,0.7047619,1.0379747,0.8411215,0.6105263,1.5462185,1.5777777,1.8244275,1.4102564,1.4919355,1.051282,1.1504425,1.1,1.4736842,1.0,0.46846846,0.4778761,0.23913044,0.0625,0.058252428,0.08163265,0.09090909,0.055045873,0.034782607,0.06741573,0.1826923,0.04587156,0.14130434,0.13131313,0.19417475,0.16483517,0.14814815,0.06306306,0.18811882,0.1122449,0.10091743,0.05839416,0.13793103,0.037037037,0.04950495,0.04032258,0.048387095,0.12037037,0.008333334,0.017094018,0.00877193,0.040650405,0.022900764,0.0,0.014705882,0.024193548,0.017391304,0.015267176,0.015267176,0.047244094,0.016666668,0.053691275,0.06369427,0.018181818,0.01754386,0.019417476,0.03448276,0.0,0.049586777,0.049295776,0.04385965,0.0,0.015503876,0.025477707,0.017699115,0.013513514,0.024793388,0.013245033,0.02112676,0.061728396,0.023121387,0.06875,0.024390243,0.04375,0.038043477,0.061797753,0.024691358,0.0069444445,0.025,0.050955415,0.01369863,0.015075377,0.069767445,0.04712042,0.0295858,0.057803467,0.077380955,0.048484847,0.04761905,0.05357143,0.021582734,0.049079753,0.08648649,0.01724138,0.051813472,0.12105263,0.05235602,0.094527364,0.09677419,0.09550562,0.110552765,0.09392265,0.080213904,0.10958904,0.12077295,0.084745765,0.073529415,0.11797753,0.05022831,
Cascais,0.0,0.39583334,0.53097343,0.9921875,0.91818184,0.9862069,1.404908,1.8439306,1.5548387,2.0958083,1.672811,1.1139896,1.5079365,1.6111112,1.3468208,1.4432989,1.6913043,1.718085,2.271028,1.0366492,1.6968085,1.8589743,0.77,0.64705884,0.74,0.5,0.509434,0.7307692,0.9302326,0.849711,1.1590909,0.80864197,1.7371795,1.4742268,1.6441718,2.02454,1.4301075,1.9940828,1.227027,1.896373,2.2871795,2.32243,1.957346,2.7936509,3.1257484,2.8367348,3.2761905,3.8066666,3.8601694,2.8649788,3.0045872,3.9271846,3.3922415,3.8195877,3.845,3.4215248,3.1341991,3.2631578,3.539604,3.5767634,3.2559242,3.4832535,3.141079,3.9003985,2.8679245,3.4813085,3.1675127,4.053498,2.113924,4.0051813,3.7991803,4.203046,3.9493089,6.710204,4.357488,5.0186915,4.048077,5.284404,5.023697,3.2259614,3.9425838,4.672811,4.608889,7.265873,5.995434,4.419753,5.5346537,7.919431,5.489899,5.7947598,5.8768473,4.9651165,4.9555554,4.5916667,5.319672,5.159817,5.2994924,4.5706806,5.7782807,6.248848,7.3934426,5.1179037,7.1991525,4.8450704,4.706422,5.3171806,6.693396,5.8608694,6.730435,5.1845493,5.882609,6.0045457,9.671233,7.9540815,7.007843,9.850365,8.600939,7.577273,6.4459457,6.5238094,
Lisboa,0.0,0.09174312,0.1879085,0.25252524,0.32880098,0.75194806,0.7669492,0.99215686,1.115202,1.2982659,1.1612121,1.0834224,0.77284265,0.8105148,1.3792667,0.95424837,0.94188863,0.84574467,1.2877604,1.1869159,1.215733,1.2587968,1.7177986,1.636483,2.0800562,1.6273764,1.7463236,1.6757457,1.465817,1.6356229,1.8174124,1.7771084,1.6569697,2.07314,1.8560885,2.0811555,2.295249,2.440658,2.5277383,2.8837802,3.0734596,2.987593,3.189404,3.5808823,3.8468208,3.7847223,3.831956,4.3472023,5.684811,4.5359,5.0221705,4.6410255,5.0750575,5.351163,6.6829267,6.0011864,7.256477,6.6264744,8.375162,8.067669,8.632406,8.32913,7.7078238,7.686705,8.327152,9.039216,10.963494,9.14,10.404601,10.280813,9.129887,9.544888,10.008805,8.9291525,10.853536,10.62336,11.055422,11.841597,10.887468,10.676203,11.376028,9.562889,11.01963,11.012033,10.646428,12.635776,11.325909,11.550858,11.970273,12.97439,13.4038925,12.328767,10.829032,13.194904,13.423687,13.778043,15.145986,16.875,14.639019,12.194543,10.220493,12.518417,14.778489,15.267166,13.592508,13.4461155,14.069048,14.805151,12.656876,15.621212,15.699205,15.152439,16.119183,16.115236,17.11111,16.59338,16.023691,16.490955,14.075269,13.605739,
Loures,0.0,0.328,0.68421054,0.7941176,1.280303,1.5855263,1.4082841,1.4324324,1.5476191,0.9194631,1.0544218,0.5923077,0.8181818,1.0217391,0.9302326,1.8554217,1.7391304,1.26,1.2913908,1.3150685,1.3445379,0.39849624,0.2147651,0.48091602,0.052238807,0.04255319,0.05035971,0.05645161,0.11016949,0.13043478,0.1119403,0.104166664,0.07633588,0.054054055,0.17880794,0.08888889,0.11486486,0.10382514,0.10714286,0.08791209,0.27388534,0.16470589,0.12154696,0.18716578,0.38839287,0.30660376,0.34302327,0.26737967,0.3275862,0.5,0.10204082,0.16908212,0.1452514,0.13227513,0.09139785,0.24210526,0.044444446,0.11170213,0.12,0.11594203,0.11675127,0.14070351,0.10047847,0.10714286,0.15053764,0.065,0.13402061,0.11219512,0.099415205,0.053658538,0.08839779,0.07602339,0.11111111,0.18128654,0.094527364,0.15384616,0.20833333,0.1594203,0.21568628,0.24324325,0.16176471,0.24180327,0.14611872,0.1758794,0.20476191,0.26511627,0.24747474,0.25403225,0.26890758,0.22222222,0.28512397,0.33031675,0.26785713,0.41422594,0.3364929,0.25570777,0.44528303,0.25680932,0.36554623,0.33624455,0.44537815,0.5521739,0.39408866,0.3875,0.33474576,0.45777777,0.46861926,0.22357723,0.26696834,0.30452675,0.6103896,0.39688715,0.36864406,0.6839827,0.5168539,0.4681648,0.46,0.5787037,0.56589144,0.608,
Mafra,0.0,0.8148148,1.5641025,1.939394,2.152174,2.787234,2.7887323,2.3373494,2.2777777,1.85,1.8101265,2.1355932,2.4461539,1.2063493,1.1571429,0.6760563,0.9117647,0.89855075,0.9142857,0.12280702,0.3108108,0.23728813,0.0,0.13461539,0.24561404,0.5,0.0,0.014925373,0.016393442,0.0,0.0,0.017857144,0.11320755,0.21875,0.018181818,0.024390243,0.11627907,0.7647059,0.084745765,0.23728813,0.0,0.11111111,0.0,0.06557377,0.2,0.24,0.23170732,0.3857143,0.40449437,0.22988506,0.2631579,0.34666666,0.28125,0.4489796,0.5301205,0.18181819,0.3125,0.3398058,0.2682927,0.18987341,0.15730338,0.17857143,0.2278481,0.32142857,0.18032786,0.20731707,0.54285717,0.13402061,0.0625,0.011363637,0.0,0.08955224,0.10144927,0.028985508,0.013157895,0.02173913,0.06521739,0.13432837,0.17391305,0.20731707,0.26804122,0.22680412,0.24096386,0.24358974,0.2747253,0.22619048,0.49411765,0.64705884,0.5046729,0.57843137,0.525,0.3875,0.32142857,0.39130434,0.7924528,0.990099,0.5681818,0.7980769,1.1625,0.8055556,0.75757575,0.5764706,0.53763443,0.41836736,0.42307693,0.41121495,0.39784947,0.6057692,0.25882354,0.3263158,0.39795917,0.35714287,0.5857143,0.4945055,0.7126437,0.21518987,0.28947368,0.34210527,0.20224719,0.34065935,
Odivelas,0.0,0.6041667,0.93939394,1.0843374,1.0625,1.5652174,1.6578947,2.0431654,2.4469273,2.686813,2.3596492,2.6146789,2.495238,2.2330098,2.0862944,1.3435898,1.9740933,1.4895834,1.7621622,1.7127072,1.8139535,1.9032258,1.5230769,2.1593406,1.4558823,2.1455696,2.2763157,1.7668712,1.3626374,2.6490066,1.9881657,2.296875,2.039548,2.160839,2.2808988,3.2971427,2.338384,2.9812207,3.4709303,3.1626506,2.4919786,3.5336323,2.619883,3.6906078,3.4210527,2.2937062,3.2880435,2.8235295,3.598086,4.0923915,2.891892,3.1329114,2.5454545,1.7757576,2.748718,2.1695907,2.2611465,1.835443,2.813433,0.90643275,1.4661654,1.7449664,1.1890244,0.83246076,2.0,1.7025317,1.3405797,1.3764706,0.6442953,1.5625,3.3012822,0.47586206,0.87586206,0.8333333,0.9264706,0.32051283,0.2837838,0.37301588,0.4642857,0.44520548,0.24698795,0.42384106,0.4513889,0.4248366,0.5251397,0.6118421,0.65608466,0.7181208,0.5706215,1.0661764,1.1279069,0.85643566,0.8333333,0.9447853,0.86702126,1.3028572,1.0941176,1.1827412,1.2460732,1.1546961,1.4891304,0.947644,1.2171717,1.2606384,1.2789474,1.6954315,1.5698925,1.5076923,1.3990611,1.2099447,1.5490196,1.8095238,1.678733,1.9326425,2.0789473,1.5108225,2.1921182,2.0625,2.1327014,2.2702703,
Oeiras,0.0,0.10655738,0.28395063,0.4387755,0.31578946,0.50877196,0.43243244,0.8153846,0.776699,0.71,1.1403508,1.2190477,0.89215684,0.60714287,0.7685185,1.1333333,1.2891567,0.2857143,0.9111111,0.3873874,0.15044248,0.17525773,0.33962265,0.20879121,0.17567568,0.1521739,0.08139535,0.071428575,0.06382979,0.20618556,0.06185567,0.16964285,0.032,0.08053691,0.10852713,0.34710744,0.20979021,0.18045112,0.19727892,0.18115942,0.15107913,0.13157895,0.511811,0.34586465,0.17449665,0.34931508,0.3030303,0.5,0.14193548,0.10869565,0.23717949,0.13580246,0.20994475,0.116564415,0.15428571,0.34615386,0.05263158,0.11594203,0.13939394,0.27044025,0.11904762,0.23076923,0.1097561,0.34437087,0.2644628,0.31858408,0.14084508,0.14285715,0.2016129,0.27131784,0.25170067,0.19148937,0.23188406,0.32592592,0.29032257,0.30666667,0.22891566,0.36875,0.35947713,0.5523256,0.24260356,0.2857143,0.26415095,0.30635837,0.44221106,0.23636363,0.37931034,0.22077923,0.43502825,0.46666667,0.4064171,0.5555556,0.36809817,0.6214689,0.6,0.7663044,0.6666667,0.6505376,0.9127907,0.65384614,0.7311828,0.8034682,0.6267943,1.2663317,0.56725144,0.86243385,0.44505495,1.082873,0.8,0.77160496,1.0833334,0.68292683,0.7714286,0.56497175,0.79738563,0.6357143,1.0324675,0.8241206,0.58381504,0.81875,
Sintra,0.0,0.2866242,0.6906475,0.45070422,0.6363636,0.65697676,0.9078014,0.9444444,0.92168677,1.1118422,0.92903227,0.52112675,0.13559322,0.12413793,0.030534351,0.08695652,0.008403362,0.044444446,0.017094018,0.0074074073,0.014084507,0.0,0.0,0.0068965517,0.006756757,0.0,0.0,0.006329114,0.0,0.006024096,0.0,0.0064935065,0.0,0.0,0.0056818184,0.0,0.02631579,0.0,0.004784689,0.015706806,0.0,0.0,0.0,0.0046296297,0.017045455,0.009345794,0.00591716,0.0,0.014218009,0.011299435,0.0053475937,0.004901961,0.0,0.0054945056,0.0,0.004347826,0.005263158,0.0093896715,0.0,0.0,0.004016064,0.0,0.0,0.0,0.0,0.005540166,0.0029498525,0.0025252525,0.0073891627,0.0024570024,0.002352941,0.014084507,0.011204482,0.005449591,0.0,0.0099502485,0.006042296,0.016666668,0.04105572,0.04692082,0.028481012,0.0026525198,0.0114613185,0.0,0.019607844,0.0077120825,0.002624672,0.01305483,0.009009009,0.0056179776,0.0055555557,0.002617801,0.0054200543,0.0026455026,0.010309278,0.015432099,0.0033003301,0.022364218,0.027272727,0.020408163,0.0032894737,0.0036363637,0.006968641,0.0034013605,0.0124223605,0.003144654,0.0032051282,0.01179941,0.0028818443,0.0025773195,0.008264462,0.005524862,0.009090909,0.0027100272,0.0051150895,0.01396648,0.010471204,0.0025510204,0.008108108,0.014492754,
VilaFrancaDeXira,0.0,0.8518519,1.2272727,2.38,1.6923077,0.9787234,1.1956521,1.3636364,1.8780488,1.18,0.64285713,1.1333333,0.4878049,0.5263158,0.03125,0.05882353,0.0,0.0,0.02631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692308,0.021276595,0.0,0.0,0.035714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631579,0.011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921984,0.040650405,0.014705882,0.01910828,0.007194245,0.0375,0.0,0.020833334,0.011904762,0.013422819,0.098684214,0.0064102565,0.0,0.027972028,0.017094018,0.0,0.0,0.0,0.0,0.01904762,0.060606062,0.02,0.0,0.0,0.0,0.0,0.031496063,0.026548672,0.01010101,0.0,0.0,0.04347826,0.0,0.0,0.04109589,0.0,0.0,0.015384615,0.0,0.0,0.022988506,0.0,0.014084507,0.010989011,0.0,
Alcochete,0.0,0.625,1.8,2.0769231,2.142857,2.55,3.1111112,3.5652175,2.1111112,2.0285714,2.9375,0.6666667,0.3125,0.5263158,0.875,0.61538464,0.04,0.0,1.0,0.84210527,0.13043478,0.25,0.7058824,0.22222222,0.6666667,0.5263158,0.20833333,0.61904764,0.39130434,0.037037037,0.5,0.17391305,0.21052632,0.0,0.2857143,0.09090909,0.14285715,0.2,0.0,0.0,0.0,0.0,0.0,0.07692308,0.0,0.0,0.14285715,0.0,0.0,0.0,0.05882353,0.0,0.05263158,0.0,0.07692308,0.0,0.0,0.35714287,0.1875,0.14285715,0.21428572,0.0,0.0,0.045454547,0.0,0.083333336,0.07692308,0.037037037,0.10526316,0.05,0.2,0.14285715,0.15384616,0.045454547,0.0,0.045454547,0.0,0.17857143,0.05882353,0.20833333,0.071428575,0.25,0.04,0.0,0.5,0.125,0.3181818,0.32,0.2173913,1.0,0.24,0.1875,0.055555556,0.11764706,0.0,0.11764706,0.09090909,0.1,0.2,0.22222222,0.22222222,0.375,0.18518518,0.31578946,0.31578946,0.15,0.045454547,0.15,0.16,0.11111111,0.3,0.14285715,0.5,0.05263158,0.35,0.4,0.54545456,0.08695652,0.52380955,0.0,
