-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Amadora,0.0,0.29333332,0.64705884,0.8148148,1.0340909,1.3486239,1.1444445,1.2424242,0.9813084,0.9,1.1086956,1.3421053,2.0277777,1.7,1.6630435,1.9541284,2.1809523,1.3928572,1.0568181,0.49382716,0.59375,0.19480519,0.04597701,0.054945055,0.1588785,0.09090909,0.060240965,0.045454547,0.15463917,0.14035088,0.11111111,0.1509434,0.18803419,0.19607843,0.1734694,0.17171717,0.1682243,0.06422018,0.074074075,0.03883495,0.1632653,0.06666667,0.069767445,0.05357143,0.03960396,0.078947365,0.056603774,0.06837607,0.02970297,0.024096385,0.0,0.04054054,0.010416667,0.06382979,0.04819277,0.017699115,0.114285715,0.011111111,0.027777778,0.009433962,0.03773585,0.03,0.03125,0.02970297,0.010416667,0.033333335,0.042372882,0.057142857,0.026785715,0.0121951215,0.0625,0.054945055,0.040816326,0.08888889,0.023255814,0.021505376,0.04385965,0.07446808,0.04310345,0.029126214,0.03539823,0.015748031,0.031007752,0.03846154,0.008064516,0.024,0.007936508,0.028301887,0.032608695,0.027027028,0.03883495,0.013888889,0.050724637,0.008264462,0.035971224,0.053097345,0.0,0.027777778,0.04511278,0.037037037,0.033613447,0.01438849,0.040650405,0.007751938,0.056603774,0.026845638,0.022900764,0.05970149,0.04191617,0.04761905,0.048484847,0.041666668,0.02962963,0.022058824,0.02,0.11278196,0.06,0.045454547,0.04411765,0.041666668,
Cascais,0.0,0.27884614,0.69473684,0.92741936,0.6936937,1.3023256,1.5126582,1.7127659,2.161111,2.4210527,2.3030303,1.4064171,1.6727272,1.8333334,2.2035928,2.0635839,2.1644738,2.918033,2.3373494,2.385475,2.351515,1.2827225,1.546875,1.9052632,1.3112583,0.7368421,1.3053435,1.25,1.5,1.277027,1.472973,1.0909091,1.0064102,1.4096385,1.1987952,1.7210884,1.81761,1.6604939,2.027174,1.7142857,2.793893,1.8918918,1.8921568,2.6643357,2.1404495,2.801205,3.4973822,1.9431819,3.5975103,3.8958333,3.776699,3.9023256,3.314917,2.4829268,2.8177083,3.5775402,3.1123595,3.654321,3.8295455,3.4550898,3.8947368,3.4293194,3.4371586,3.7637362,1.978022,2.691358,3.186747,3.0465117,4.6891193,3.1055276,4.6373625,4.5465117,6.785714,4.718919,2.6614583,4.4,3.4911242,3.1449275,2.995,3.5656567,3.640244,5.0220995,5.116022,3.5617285,3.258427,4.035294,4.9496856,3.0930233,3.2485876,2.413793,2.5765307,3.8148148,3.781726,2.7462687,6.5306125,3.4835682,5.6635942,3.7815535,4.5606937,5.1354165,3.7263157,4.3546796,3.6649215,4.2566843,3.184332,4.030303,3.094241,3.6993866,4.4487805,3.5350878,4.205,4.478049,4.357143,3.75,2.9466019,3.3266332,4.4663463,3.3382354,3.3705583,5.0494504,
Lisboa,0.0,0.09172932,0.19305019,0.41419354,0.72386056,0.8492823,0.9426434,1.0874317,1.2643678,1.6223862,1.4716749,1.505508,1.2524272,1.3614776,1.4261658,1.2588347,1.6095017,1.2475369,1.4128655,1.716303,2.14826,1.9476373,1.7207944,1.6825582,1.6546391,1.6998689,1.8483222,2.3360655,1.8873057,1.8863347,1.6520052,1.9202703,1.6691358,1.9959016,2.4735415,2.378641,2.5734355,2.6666667,2.7866473,2.680908,3.0824428,2.6625345,2.9932249,3.339233,3.2857144,3.5993884,3.1761193,3.642202,4.988981,4.895973,5.159948,5.1813335,5.6,6.2309747,6.446003,6.8748355,6.7975545,6.959514,6.608108,5.905549,6.81358,7.2577596,8.181334,6.121339,8.043227,7.937587,8.093209,7.6032834,8.08,7.6107383,7.9594593,8.569015,9.089263,8.975,9.938041,9.565537,10.811398,11.102921,10.635922,8.812959,9.531381,9.943473,10.582294,9.941655,9.877792,11.473214,11.377483,10.845417,11.114583,13.112792,14.085507,12.923674,13.325524,13.222973,13.571819,13.179894,11.853905,11.035088,11.785244,11.592592,12.193212,14.4402685,14.649939,12.618293,12.977922,13.54732,12.437575,13.926017,14.707349,13.312576,13.427135,13.474576,14.030379,13.466328,12.351942,11.61816,13.680306,11.939151,11.028967,10.766249,
Loures,0.0,0.3218391,0.7222222,0.8596491,1.2521739,1.6713287,1.8095238,1.5266272,1.4782609,1.8160919,1.6351352,1.6556292,1.3695652,1.6196319,2.1985295,2.1496062,2.121212,1.8793104,1.5428572,1.264,0.7567568,0.8680556,0.4919355,0.31428573,0.03311258,0.104477614,0.21804512,0.08275862,0.28671327,0.16666667,0.26119402,0.21705426,0.09210526,0.1637931,0.32692307,0.1409396,0.5611511,0.35114503,0.28846154,0.16216215,0.20979021,0.36734694,0.18604651,0.39344263,0.184,0.23943663,0.20661157,0.13513513,0.2631579,0.077419356,0.14285715,0.15384616,0.084848486,0.0859375,0.18620689,0.26530612,0.2236842,0.1,0.16774194,0.09929078,0.09090909,0.053333335,0.013422819,0.1007752,0.03448276,0.16891892,0.05185185,0.11904762,0.2389937,0.21710527,0.125,0.15714286,0.11564626,0.1971831,0.12080537,0.072463766,0.12903225,0.092857145,0.19178082,0.086419754,0.18518518,0.058064517,0.10429448,0.125,0.13636364,0.0776699,0.1027027,0.099415205,0.08695652,0.19078948,0.058479533,0.2556818,0.10795455,0.13297872,0.1875,0.15979381,0.14871795,0.16901408,0.2195122,0.18357489,0.0974359,0.08152174,0.18435754,0.19211823,0.22772278,0.21,0.12690355,0.14070351,0.1369863,0.17857143,0.22222222,0.18229167,0.17567568,0.09547739,0.14673913,0.26442307,0.1641791,0.20960699,0.18957347,0.22335026,
Mafra,0.0,0.53846157,1.3333334,1.882353,2.3148148,2.375,2.7037036,3.7529411,2.6363637,2.1558442,3.142857,1.6842105,2.8181818,2.5,2.2461538,1.2121212,1.3018868,1.4418604,0.6034483,1.137931,0.55737704,0.4,0.15789473,0.8333333,0.7,0.05882353,0.057971016,0.09677419,0.14666666,0.15789473,0.19354838,0.032786883,0.16216215,0.26153848,0.05263158,0.014492754,0.10344828,0.1509434,0.11764706,0.15873016,0.05172414,0.084745765,0.09677419,0.045454547,0.08163265,0.13461539,0.17307693,0.25,0.22,0.2037037,0.16393442,0.048780486,0.023809524,0.13461539,0.08510638,0.019607844,0.05357143,0.083333336,0.045454547,0.14893617,0.10869565,0.1923077,0.14285715,0.12962963,0.11666667,0.050847456,0.14705883,0.14754099,0.1904762,0.13043478,0.31707317,0.18461539,0.14285715,0.19672132,0.10294118,0.23684211,0.14516129,0.33846155,0.16666667,0.1,0.09210526,0.2777778,0.0877193,0.1,0.15517241,0.17741935,0.118644066,0.22222222,0.15384616,0.15625,0.23076923,0.23076923,0.140625,0.23880596,0.14102565,0.12698413,0.09259259,0.083333336,0.101265825,0.12162162,0.13157895,0.09859155,0.064935066,0.22222222,0.057971016,0.14606741,0.0927835,0.18681319,0.23333333,0.19277108,0.2278481,0.18461539,0.13095239,0.17977528,0.3442623,0.3015873,0.30487806,0.25301206,0.30379745,0.22222222,
Odivelas,0.0,0.5,0.8305085,1.1466666,1.2843137,1.7159091,2.0526316,2.4485295,2.4968152,3.2713568,2.9668508,3.4162679,3.093458,3.1741574,3.1813188,2.70625,2.5119047,1.9784946,1.4,2.1351352,1.9251337,2.357143,2.2848837,1.7472527,1.5597014,1.5967742,2.4113476,1.5251799,1.6350365,2.7192984,1.6580645,1.9426751,2.240876,2.8516128,2.664557,2.3820224,3.047619,2.7672956,3.0734463,2.7228916,1.841808,2.4251497,2.342246,2.6013513,3.1736526,2.872093,2.2831326,3.0994475,4.3166666,2.7869565,2.7828283,2.535135,2.942857,2.7414966,2.3696969,2.4880953,2.6091955,3.0700636,3.867133,2.4444444,2.4362416,3.2482758,4.007353,3.0797102,1.1626016,2.632,2.424,0.85314685,0.973913,0.8394161,0.9897959,0.8,1.0176991,0.40206185,0.27731094,0.5392157,0.3644068,0.27433628,0.25688073,0.296,0.30526316,0.2932331,0.304,0.25833333,0.4057971,0.23076923,0.22556391,0.24060151,0.30232558,0.29166666,0.3125,0.22807017,0.20714286,0.2867647,0.37704918,0.3561644,0.33070865,0.35664335,0.45070422,0.42222223,0.41428572,0.2761194,0.46923077,0.42767295,0.36871508,0.47619048,0.54268295,0.38311687,0.4722222,0.4198895,0.75460124,0.7247191,1.0838324,0.74496645,1.0426829,0.98101264,1.1696969,0.825,1.1321839,1.4946237,
Oeiras,0.0,0.13043478,0.35164836,0.61627907,0.39285713,0.8252427,1.0,0.71276593,0.80451125,0.7368421,0.9357798,1.0775862,1.2258065,1.2391304,1.2738096,0.8039216,0.9259259,1.0943396,1.0,0.60638297,1.0886075,0.20987654,0.27659574,0.27027026,0.015151516,0.0,0.03846154,0.03773585,0.071428575,0.071428575,0.08421053,0.10526316,0.15384616,0.10655738,0.37168142,0.20175439,0.18095239,0.25742576,0.13829787,0.72380954,0.33898306,0.25663716,0.1588785,0.22680412,0.20192307,0.2882883,0.16923077,0.37719297,0.38636363,0.4652778,0.4814815,0.63247865,0.368,0.40495867,0.6935484,0.2173913,0.18705036,0.21052632,0.3359375,0.35365853,0.33333334,0.512,0.52112675,0.6231884,0.43801653,0.73015875,0.4248366,0.5555556,0.22627737,0.37931034,0.36842105,0.35877863,0.47863248,0.34108528,0.32352942,0.28873238,0.3529412,0.37288135,0.26865673,0.33834586,0.44117647,0.23584905,0.43157893,0.25619835,0.36363637,0.40650406,0.3305785,0.37272727,0.3529412,0.2867647,0.42105263,0.3955224,0.28125,0.41747573,0.2986111,0.3472222,0.2866242,0.32867134,0.44444445,0.29268292,0.45333335,0.359375,0.2837838,0.41463414,0.41095892,0.41911766,0.41379312,0.43558282,0.336,0.47058824,0.49275362,0.5033557,0.43125,0.475,0.5875,0.45578232,0.6037736,0.45142856,0.572327,0.7204969,
Sintra,0.0,0.35897437,0.65486723,0.8378378,0.627451,0.9310345,1.1,1.3115942,1.7798165,1.75,1.3161764,0.67132866,0.44,0.26612905,0.01923077,0.115384616,0.18421052,0.08510638,0.02247191,0.0,0.007874016,0.007352941,0.0078125,0.018018018,0.008474576,0.007874016,0.007936508,0.012345679,0.03937008,0.0,0.0,0.007633588,0.007936508,0.016528925,0.015748031,0.0,0.048543688,0.0,0.023255814,0.074074075,0.015384615,0.0,0.007142857,0.0,0.008928572,0.014814815,0.0,0.0,0.0,0.0,0.0,0.0053475937,0.0,0.0,0.0,0.0,0.0,0.013245033,0.0,0.011904762,0.03529412,0.015151516,0.005263158,0.0,0.0,0.0,0.0,0.00456621,0.005586592,0.004854369,0.041420117,0.0,0.0,0.0,0.010526316,0.0,0.009852217,0.027472528,0.0049261083,0.0,0.0,0.0,0.009803922,0.01604278,0.016483517,0.008368201,0.00921659,0.004672897,0.0,0.004716981,0.004464286,0.004149378,0.012145749,0.012875536,0.003215434,0.0,0.0034722222,0.01010101,0.009803922,0.0091743115,0.0034602077,0.0,0.0,0.0,0.029940119,0.015384615,0.003021148,0.011142061,0.010695187,0.020512821,0.005181347,0.012437811,0.02116402,0.018324608,0.027548209,0.019021738,0.02173913,0.042207792,0.020887729,0.014814815,
VilaFrancaDeXira,0.0,1.0,1.6666666,1.8918918,1.7826087,2.82,2.877193,2.5084746,2.53125,1.875,2.7777777,0.7692308,0.7878788,0.7631579,0.07692308,0.0,0.0,0.06896552,0.0,0.08695652,0.03448276,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.019607844,0.0,0.01369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638298,0.0,0.0,0.008474576,0.0,0.0,0.014184397,0.007936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679,0.0,
Alcochete,0.0,1.0,1.0,2.2727273,2.8125,3.047619,3.2941177,3.3666666,3.3448277,2.9230769,2.6538463,1.6071428,2.413793,1.5652174,2.3333333,0.8518519,0.4,0.3043478,0.46666667,0.16666667,0.12,0.21052632,0.041666668,0.0,0.20833333,0.2631579,0.1923077,0.0952381,0.16666667,0.35714287,0.57894737,0.7619048,0.5862069,0.62068963,0.7619048,0.7777778,0.64705884,1.3333334,0.6666667,0.8333333,1.7368422,0.76,1.3714286,1.4285715,0.3888889,0.57894737,0.5833333,0.5,1.4736842,0.14285715,0.5,0.0,0.05,0.0,0.2,0.3,0.0,0.2,0.11111111,0.2,1.2,0.21428572,0.0,0.42857143,0.6,0.6,0.16666667,0.0,0.14285715,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.07692308,0.083333336,0.0,0.0,0.0,0.0,0.2777778,0.0,0.0,0.13636364,0.0,0.25,0.2,0.15384616,0.11764706,0.0,0.0,0.0,0.0,0.071428575,0.14285715,0.071428575,0.13043478,0.0,0.05263158,0.33333334,0.1764706,0.22222222,0.07692308,
