-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Amadora,0.0,0.13114753,0.21568628,0.38333333,0.36956522,0.53424656,0.74242425,0.42424244,0.52272725,1.075,0.5294118,0.77380955,0.6,0.2769231,0.36065573,0.328125,0.046875,0.046875,0.01923077,0.0625,0.04255319,0.01923077,0.0,0.05263158,0.04477612,0.012820513,0.016949153,0.0,0.015625,0.0,0.013333334,0.015384615,0.042857144,0.02739726,0.0,0.06382979,0.014285714,0.021978023,0.03409091,0.056338027,0.0,0.01754386,0.05376344,0.0,0.0,0.014925373,0.0,0.0,0.034883723,0.0,0.0,0.0,0.015384615,0.0,0.0,0.014285714,0.015151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951215,0.029411765,0.019607844,0.0121951215,0.0375,0.023255814,0.0,0.028985508,0.01369863,0.0,0.0,0.0,0.022988506,0.0,0.0,0.0,0.0,0.00862069,0.0,0.010309278,0.00990099,0.008928572,0.0,0.0,0.009259259,0.015625,0.0,0.0,0.016,0.022222223,0.0,0.0,0.008333334,0.0,0.02020202,0.0,0.00952381,0.0,0.008928572,0.041666668,0.0,0.0,0.008403362,0.009009009,0.0,0.007874016,
Cascais,0.0,0.23076923,0.5,1.0857143,1.1932774,1.2727273,1.6985294,1.25,1.3544304,1.5294118,1.0454545,1.3974359,1.1781609,1.0547945,1.8967742,1.4214876,1.015748,2.057377,1.4402516,1.3101265,1.8417722,0.94,1.2838709,1.0967742,0.4779412,0.21678321,0.19847329,0.4251497,0.24203822,0.44520548,0.8413793,0.57894737,1.137931,1.0629921,1.2670455,0.68292683,0.684492,0.38011697,1.1088436,0.9488636,0.79268295,1.4233129,0.9352518,1.2727273,1.642384,1.046875,1.0394737,1.4,1.3834951,1.6448088,1.566474,1.7556819,1.7098446,1.4152046,1.2405063,1.6022727,2.1607144,1.4470588,0.97727275,2.313253,1.9342105,2.2764707,1.7272727,2.2395833,1.6037736,1.5960591,2.3519554,1.5393258,2.968912,3.182857,2.8707864,2.468085,3.066225,2.6149068,3.8195877,1.6277778,2.4207318,1.9245284,3.1836734,2.3977273,3.1631205,1.8417722,2.3034825,3.3681319,3.122093,1.9820628,3.063492,4.353234,1.6758242,3.5051022,2.8,2.188172,3.6506023,2.344086,4.0054646,2.4712644,2.5966852,3.5297298,2.882927,2.6551723,2.3293173,3.8282208,3.5352113,2.861751,3.0050251,3.2842104,2.8369098,3.1163793,2.724299,3.9900498,2.9887006,3.8104265,4.110048,2.6875,5.2649574,2.8356164,2.960452,3.7142856,3.084577,3.168182,
Lisboa,0.0,0.08248915,0.30149254,0.37302727,0.60353535,0.6573333,0.72762644,1.049133,1.1074705,1.2164557,1.2758216,0.7164527,0.8413793,0.9475138,1.6188871,1.1114504,1.2572402,0.8697479,1.1690364,1.3313609,1.1763943,1.3303108,1.4251497,1.4105793,1.5285118,1.2685051,1.4694767,1.3873994,1.1094987,1.4132231,1.6080333,1.4054834,1.4758523,1.5970149,1.38437,1.5862978,2.002574,1.7532809,2.1802168,2.1391678,1.7713069,1.9464525,2.2161338,2.3506892,2.7092085,2.3923304,2.5987933,2.4381223,3.341,3.2473989,2.8427746,2.9345028,3.1673698,3.273072,3.441799,3.32,3.0995963,3.4114513,5.144144,5.383356,5.206211,5.42545,5.3508244,4.642177,5.0196905,5.786026,6.424965,6.8117285,7.996546,6.247191,7.0229225,8.570833,6.7571607,8.2117815,7.253814,8.025873,7.319826,7.7869563,7.5289054,6.981846,8.079897,7.883994,7.3694363,7.885787,7.929217,9.148041,10.320552,10.216074,10.260218,8.531593,10.148305,8.688995,7.7614427,8.95671,9.49435,8.670436,7.979798,10.243902,8.489019,10.24247,12.941512,12.225191,9.274194,14.560944,10.124098,7.6689467,11.466197,10.3563385,9.701316,11.356558,11.654182,10.795425,10.7383795,12.105124,13.517976,12.426471,13.64557,11.602459,13.928668,10.738342,
Loures,0.0,0.33962265,0.8888889,1.3043479,0.9478261,0.8907563,0.8067227,0.920354,0.77884614,0.8301887,1.2446809,1.1754386,1.4563106,1.2068965,1.6818181,1.3909091,1.018018,0.42307693,0.80597013,0.37168142,0.24,0.39361703,0.15315315,0.18478261,0.03846154,0.084033616,0.00877193,0.05102041,0.104347825,0.03960396,0.009803922,0.03508772,0.06666667,0.036697246,0.017094018,0.036697246,0.027777778,0.0,0.05982906,0.031914894,0.11504425,0.057692308,0.03797468,0.036144577,0.05691057,0.13913043,0.051282052,0.09154929,0.08029197,0.096296296,0.026666667,0.03875969,0.028037382,0.025641026,0.096491225,0.125,0.033333335,0.05645161,0.04255319,0.12,0.06716418,0.05625,0.13422818,0.19424461,0.033783782,0.06666667,0.01438849,0.060606062,0.01898734,0.07096774,0.07575758,0.11940298,0.18125,0.03816794,0.1125,0.03649635,0.07857143,0.06849315,0.05755396,0.105960265,0.08074534,0.11510792,0.06923077,0.021276595,0.08275862,0.03726708,0.09022556,0.046979867,0.104166664,0.061728396,0.09625668,0.01459854,0.046511628,0.08,0.049295776,0.065789476,0.1030303,0.09139785,0.061349694,0.038709678,0.13772455,0.03521127,0.14673913,0.058139537,0.068571426,0.080213904,0.12209302,0.03846154,0.06806283,0.038251366,0.07065217,0.12941177,0.042168673,0.075675674,0.116161615,0.14594595,0.16363636,0.20634921,0.093023255,0.09195402,
Mafra,0.0,0.53846157,1.4594594,1.4888889,2.56,2.4186046,2.862069,2.9545455,2.2121212,2.0298507,2.0,1.7763158,2.0253165,1.5,0.8135593,0.8382353,0.33870968,0.8269231,0.3478261,0.3478261,0.12,0.14893617,0.0,0.0,0.118644066,0.016393442,0.04347826,0.0,0.0,0.018518519,0.0,0.0,0.08955224,0.3043478,0.21666667,0.0,0.05172414,0.09259259,0.1724138,0.21276596,0.0,0.0,0.036363635,0.0,0.055555556,0.036363635,0.05172414,0.016949153,0.06818182,0.0,0.039215688,0.0,0.04255319,0.0,0.0,0.12280702,0.083333336,0.07317073,0.02173913,0.078431375,0.0,0.023809524,0.09836066,0.07692308,0.22033899,0.04761905,0.046153847,0.06557377,0.03125,0.13432837,0.05172414,0.1904762,0.25,0.21052632,0.15789473,0.15714286,0.19672132,0.1904762,0.06944445,0.30508474,0.13235295,0.27419356,0.11320755,0.22413793,0.25,0.050847456,0.08450704,0.06451613,0.08510638,0.08163265,0.036363635,0.14492753,0.04411765,0.073529415,0.15625,0.22666667,0.2,0.07575758,0.10714286,0.16091955,0.12087912,0.22222222,0.12987013,0.15,0.22857143,0.0945946,0.16666667,0.17948718,0.26373628,0.11363637,0.19767442,0.07692308,0.072463766,0.20512821,0.16483517,0.13432837,0.25316456,0.24358974,0.16129032,0.13793103,
Odivelas,0.0,0.4871795,0.975,1.2289157,1.3111111,1.7777778,2.2393162,2.136,2.6089745,2.620482,3.0585105,2.2849462,2.0743244,1.4204545,1.3289474,1.3055556,2.0775194,1.55,1.9866667,1.585034,2.3834586,1.8082192,0.6956522,1.3666667,0.6165413,1.3815789,0.94214875,0.75,0.6259542,0.7234042,1.051282,0.75,1.2575758,1.6346154,1.1240311,1.7518797,1.5625,1.8838384,1.8742515,1.6326531,2.4810126,1.4436619,2.6490066,1.5759493,2.0067115,1.6225165,1.7986112,1.518797,2.0684211,2.322034,1.982353,1.4670658,3.2642858,1.1513158,0.8153846,0.47761193,1.0190476,0.5,0.5090909,0.114583336,0.12871288,0.21818182,0.10784314,0.06422018,0.06315789,0.22033899,0.091836736,0.16949153,0.19791667,0.13580246,0.16666667,0.10227273,0.11965812,0.2,0.14285715,0.12931034,0.11881188,0.09090909,0.09090909,0.11881188,0.09,0.16666667,0.22018349,0.13265306,0.09615385,0.20967741,0.15841584,0.095744684,0.020408163,0.05882353,0.07272727,0.09009009,0.067669176,0.037383176,0.09090909,0.05839416,0.1826087,0.11904762,0.22137405,0.12865497,0.096,0.118644066,0.21481481,0.22413793,0.18012422,0.23357664,0.08208955,0.21568628,0.24822696,0.16891892,0.2625,0.6298701,0.4640523,0.5470588,0.20625,0.34965035,0.33333334,0.5084746,0.41935483,0.4247312,
Oeiras,0.0,0.13793103,0.19753087,0.47619048,0.6376812,0.625,1.0779221,0.8095238,0.9350649,0.83116883,0.884058,0.625,1.0377358,0.44680852,0.23188406,0.11320755,0.06779661,0.0877193,0.016393442,0.055555556,0.088607594,0.0,0.103896104,0.015151516,0.0,0.0,0.03125,0.0,0.03409091,0.025641026,0.04819277,0.015384615,0.06896552,0.06666667,0.22916667,0.085365854,0.045454547,0.012658228,0.03773585,0.027027028,0.101123594,0.0625,0.12765957,0.0091743115,0.104477614,0.011764706,0.023255814,0.025,0.20512821,0.0,0.2037037,0.0,0.0,0.03846154,0.045045044,0.08571429,0.045045044,0.037383176,0.06122449,0.025,0.0776699,0.05035971,0.026086956,0.11214953,0.176,0.069767445,0.13913043,0.09701493,0.104,0.08130081,0.08275862,0.13636364,0.069565214,0.033613447,0.097345136,0.11811024,0.08148148,0.09565217,0.023622047,0.070866145,0.074074075,0.097087376,0.121212125,0.071428575,0.16806723,0.032,0.062015504,0.16666667,0.184,0.18644068,0.10185185,0.13043478,0.18439716,0.035714287,0.08035714,0.09821428,0.1495327,0.18796992,0.22758621,0.1716418,0.15873016,0.01923077,0.1300813,0.08391608,0.19685039,0.34751773,0.102564104,0.13235295,0.15267175,0.24637681,0.1007752,0.06923077,0.14545454,0.08461539,0.2086331,0.19402985,0.20895523,0.10869565,0.19685039,0.1891892,
Sintra,0.0,0.1764706,0.4408602,0.3529412,0.43023255,0.9066667,0.6904762,0.9,0.38043478,0.21538462,0.10227273,0.06666667,0.02739726,0.0,0.0,0.0375,0.010638298,0.0,0.0,0.0,0.011764706,0.008064516,0.0,0.013333334,0.0,0.011235955,0.0,0.014925373,0.0,0.0,0.0,0.0,0.0,0.024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076923077,0.0,0.0,0.0,0.0,0.0074074073,0.0,0.0,0.00729927,0.0,0.0065789474,0.0,0.0,0.0,0.0,0.0,0.0,0.006849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952381,0.0,0.0,0.0058139535,0.0,0.0054054055,0.0,0.0,0.004784689,0.0,0.0051020407,0.004672897,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006779661,0.0,0.003215434,0.0,0.01863354,0.0,0.037837837,0.0032573289,0.0028901733,0.022857143,0.0053619305,0.010443864,0.025706941,0.029154519,0.0028653296,0.007317073,
VilaFrancaDeXira,0.0,0.9285714,1.2857143,1.4482758,1.2758621,1.2727273,1.0,1.0,0.9677419,0.5483871,0.4090909,0.5483871,0.6,0.0,0.0,0.035714287,0.0,0.03448276,0.125,0.05882353,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.041666668,0.0,0.0,0.0,0.0,0.0,0.0,0.115384616,0.0,0.0,0.0,0.0,0.03846154,0.04761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833334,0.0,0.0,0.01754386,0.0,0.007633588,0.0,0.0,0.014184397,0.013605442,0.0070422534,
Alcochete,0.0,1.0,1.6666666,2.3636363,3.2727273,3.4347825,2.4583333,2.3939395,3.387097,1.9642857,1.6666666,0.625,1.1904762,0.23529412,0.3888889,0.0,0.16666667,0.0,0.0,0.055555556,0.05,0.0,0.0,0.0,0.0,0.22727273,0.0625,0.0,0.083333336,0.125,0.125,0.11111111,0.44,0.115384616,0.04347826,0.13333334,0.52,0.2857143,0.33333334,0.17857143,0.125,0.33333334,0.22222222,0.3846154,0.44444445,0.21052632,0.5,0.36842105,0.13333334,0.10526316,0.04761905,0.0,0.09090909,0.0,0.9,0.0,0.2857143,0.0,0.0,0.0,0.0,0.0,0.25,0.42857143,0.0,0.0,0.0,0.0,0.0,0.16666667,0.33333334,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.18181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882353,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.055555556,0.0,0.055555556,0.06666667,0.11111111,0.0,0.0,0.0,0.0,0.0,0.71428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.04761905,
