-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Amadora,0.0,0.24691358,0.6847826,0.5735294,0.84615386,1.0260869,1.076087,0.76666665,0.64285713,1.0543479,0.95238096,1.6202532,2.0208333,1.1559633,1.106383,0.78504676,0.64,0.42857143,0.53571427,0.54901963,0.24691358,0.19277108,0.031914894,0.11111111,0.07526882,0.048076924,0.031914894,0.07377049,0.1010101,0.034883723,0.032258064,0.110091746,0.01724138,0.0952381,0.08695652,0.110091746,0.08571429,0.16831683,0.15254237,0.024096385,0.2254902,0.054347824,0.02631579,0.034782607,0.07964602,0.0990099,0.05882353,0.042735044,0.05882353,0.03883495,0.02631579,0.03125,0.027777778,0.054545455,0.026548672,0.018181818,0.04,0.031914894,0.04901961,0.03125,0.023255814,0.04761905,0.01980198,0.048076924,0.021276595,0.04901961,0.044247787,0.05,0.0,0.06779661,0.010989011,0.042372882,0.046296295,0.02962963,0.059322033,0.08791209,0.075630255,0.009259259,0.034782607,0.032258064,0.0088495575,0.0,0.009433962,0.04,0.024793388,0.036036037,0.023255814,0.017857144,0.06896552,0.024193548,0.046979867,0.042016808,0.0,0.007633588,0.07194245,0.06329114,0.050561797,0.06666667,0.016304348,0.10493827,0.0797546,0.04411765,0.073619634,0.10666667,0.018518519,0.05479452,0.01863354,0.04761905,0.0591716,0.04945055,0.05970149,0.030927835,0.11801242,0.042168673,0.027027028,0.057142857,0.082051285,0.15882353,0.05464481,0.09947644,
Cascais,0.0,0.26190478,0.671875,1.0298507,1.0062894,1.0670391,1.3033708,1.2216495,1.5279188,1.6666666,1.5211267,1.3937824,1.4689265,1.8742515,2.102564,1.3980099,1.4475138,1.4235294,1.3541666,1.131068,1.9956896,1.2600896,1.735955,1.0167598,0.72794116,0.5244755,0.56626505,1.263473,0.8625,0.6201117,1.4970059,1.417647,1.6486486,1.4093264,1.0473684,1.5508021,2.0095694,2.3941176,2.563981,2.1085715,1.6302084,2.579235,2.1460674,2.970297,2.6790123,2.4069767,2.4691358,3.1151834,3.059055,4.0338163,4.302564,4.5636363,3.5544555,3.907489,3.4439251,3.9247313,3.5850623,3.6062176,2.8401825,2.9738219,7.0044446,4.777228,5.903084,4.5326085,5.231156,3.5803108,3.9322033,4.5789475,5.355372,3.4112904,5.1477833,3.9137254,5.423256,3.8973215,5.2510824,4.240741,3.591133,3.8530805,5.4521275,4.2352943,3.7405405,4.6649213,3.6532664,4.507177,4.6729856,4.1,4.7853403,3.6327434,4.4931507,5.1504855,3.3472223,4.930636,6.5301204,5.454976,6.7256637,5.066351,7.5114155,5.796296,4.376984,7.188679,3.980695,6.744589,4.4366813,6.5652175,5.1097045,7.373984,7.5333333,8.094059,6.5147057,4.7630334,5.279476,7.56682,6.0,4.2743363,6.801653,7.381166,6.1833334,4.799145,5.486842,4.361991,
Lisboa,0.0,0.07856192,0.19350074,0.35538262,0.55813956,0.6886447,0.82011175,1.0391414,1.0425287,1.4145758,1.64938,1.5111358,1.0271399,0.9186992,0.99450547,1.0337923,1.0240096,1.3281453,1.2460984,1.6282783,1.1770387,1.214831,1.8135169,1.653349,1.6748768,1.6754618,1.7707254,2.0695539,1.7073171,1.7596154,1.4059172,1.626788,1.5641025,1.7598097,1.9372648,2.7068965,2.7849588,2.795792,2.7286096,2.3576643,2.8059523,2.8904638,2.7910829,3.0603828,2.9674184,3.6943004,3.16313,4.584082,5.144398,4.904661,5.416193,5.809961,6.1873536,5.8406863,5.4137144,5.1826925,5.8636928,5.6279826,6.24106,7.8437915,7.802125,7.404731,7.7838874,8.943134,8.914286,9.769026,8.959524,10.031128,8.517045,10.556962,9.293878,10.0,8.983891,9.525529,9.040573,13.074483,10.660714,9.342069,11.884184,14.0739765,10.9315405,11.678011,12.505953,12.267485,11.693222,11.941615,11.993888,11.760999,13.0096035,13.081395,12.631117,12.79661,13.068155,13.450593,14.635334,13.471655,13.428396,14.47561,16.365517,12.992799,12.06511,14.491905,14.600456,14.663496,13.026738,12.902728,11.892941,13.902174,15.438535,16.373833,16.806955,12.038116,12.834225,11.421591,13.384139,13.388825,14.537517,16.569635,13.848034,15.485531,
Loures,0.0,0.3553719,0.72380954,0.8,0.86624205,1.0206896,1.5294118,1.1059602,1.574074,1.5111111,1.2039474,1.1341463,1.054878,1.062893,1.620438,1.3507463,1.9375,1.4304636,1.3392857,0.8712121,1.2407408,0.95620435,0.53636366,0.12582782,0.29411766,0.045161292,0.14492753,0.16778524,0.18987341,0.18978103,0.11278196,0.24647887,0.2611465,0.108843535,0.1037037,0.3740458,0.115384616,0.12658228,0.2636816,0.065989845,0.14201184,0.1534091,0.21142857,0.2905028,0.31764707,0.205298,0.16428572,0.1521739,0.22941177,0.13605443,0.09146342,0.11557789,0.20382166,0.103225805,0.14649682,0.09210526,0.05882353,0.06508876,0.071428575,0.058333334,0.078431375,0.115606934,0.0754717,0.072289154,0.13422818,0.1764706,0.10738255,0.083333336,0.09677419,0.06711409,0.101265825,0.081871346,0.16763006,0.15853658,0.06748466,0.20496894,0.16778524,0.07777778,0.11042945,0.07272727,0.10055866,0.11734694,0.10194175,0.072916664,0.04761905,0.12154696,0.20408164,0.05172414,0.05670103,0.2590909,0.15789473,0.18224299,0.15048544,0.19339623,0.24742268,0.11734694,0.12612613,0.14646465,0.053475935,0.22885571,0.16042781,0.21142857,0.11594203,0.14732143,0.22857143,0.12093023,0.19111112,0.123222746,0.10683761,0.24630542,0.22222222,0.17872341,0.256917,0.21399178,0.37254903,0.26070037,0.28793773,0.32780084,0.36940297,0.29104477,
Mafra,0.0,0.6666667,1.2083334,1.8679246,2.255319,2.1875,3.0394738,3.1046512,2.744681,1.5633802,2.086207,2.2191782,1.8421053,1.0163934,1.2419355,0.19117647,0.26229507,0.2682927,0.66,0.7627119,0.0,0.6226415,0.10714286,0.38,0.37037036,0.027027028,0.0,0.046875,0.36734694,0.0,0.0,0.0625,0.0,0.0,0.23214285,0.18032786,0.18518518,0.0,0.06896552,0.1,0.07692308,0.028571429,0.01754386,0.13513513,0.0952381,0.03448276,0.071428575,0.078125,0.3448276,0.020408163,0.069767445,0.10638298,0.06349207,0.07692308,0.0,0.018181818,0.0,0.0,0.0,0.092307694,0.019607844,0.13207547,0.016666668,0.0,0.0,0.0862069,0.13461539,0.01724138,0.16666667,0.23809524,0.04761905,0.16666667,0.14492753,0.22580644,0.1590909,0.09411765,0.16901408,0.27160493,0.08045977,0.19480519,0.47272727,0.23376623,0.20833333,0.22077923,0.140625,0.14035088,0.10666667,0.10294118,0.1,0.10344828,0.07042254,0.10989011,0.15,0.14444445,0.10989011,0.097826086,0.071428575,0.13253012,0.1724138,0.08888889,0.20792079,0.28735632,0.25,0.15,0.3125,0.29545453,0.36585367,0.19354838,0.20192307,0.0952381,0.2826087,0.3207547,0.34146342,0.39285713,0.56122446,0.40206185,0.41758242,0.40952381,0.1369863,0.40243903,
Odivelas,0.0,0.44594595,0.8414634,1.2272727,1.440678,1.5530303,2.237705,2.0352113,2.437186,2.4836957,2.5185184,2.2638888,2.0829494,1.4663677,1.8798077,1.5784314,2.2682927,2.4736843,1.1914893,1.7118644,1.9444444,2.2087913,1.9382023,1.7914438,2.1373627,1.5704699,1.6777778,1.7183908,1.5297619,1.9270834,1.7741935,1.8940398,1.7831326,2.098901,2.6091955,2.1791906,2.4685714,2.5752687,2.9431818,2.7329192,2.834395,2.9302325,2.7068965,3.4526315,3.2265193,2.8275862,3.9364161,3.4545455,3.488372,4.0752687,3.6153846,3.6973684,4.1128206,4.2651935,3.0157068,3.2804878,2.84153,3.0833333,2.9101796,2.046729,2.0,3.597561,1.687898,1.9772727,1.8571428,3.2198582,3.1572328,1.6626506,3.352518,1.9605263,1.7194245,3.11875,3.0472972,1.7070063,1.1118422,1.04,1.656,1.6861314,1.0428572,0.7714286,0.8214286,0.4814815,0.3382353,0.24666667,0.3382353,0.12878788,0.43037975,0.38235295,0.44117647,0.5492958,0.23622048,0.23026316,0.25827813,0.3432836,0.25454545,0.4127907,0.5,0.29139072,0.6229508,0.4853801,0.79545456,0.65745854,0.94375,0.5706215,0.85795456,0.9352941,0.74025977,0.9417989,0.9162561,0.6851852,1.1576087,0.93048126,1.1972477,0.6363636,0.6666667,0.9430052,1.2346939,1.2974359,1.1808511,1.2887701,
Oeiras,0.0,0.08208955,0.16091955,0.47368422,0.47524753,0.5154639,0.6451613,0.33333334,1.2705883,1.4607843,1.03,1.4418604,1.0,0.69072163,0.7830189,0.6814159,0.41573033,0.65822786,0.64285713,0.2992126,0.1954023,0.3027523,0.010869565,0.089108914,0.21212122,0.0989011,0.024691358,0.022222223,0.2264151,0.1780822,0.09638554,0.05376344,0.07608695,0.10280374,0.25892857,0.24528302,0.18018018,0.47540984,0.1919192,0.08163265,0.11724138,0.123188406,0.168,0.11278196,0.13846155,0.3652174,0.15126051,0.009433962,0.08695652,0.09375,0.18548387,0.09090909,0.09243698,0.10204082,0.16352202,0.20661157,0.20143884,0.33552632,0.06818182,0.08148148,0.14893617,0.12987013,0.18354431,0.10071942,0.10828026,0.1552795,0.16666667,0.22147651,0.20496894,0.15432099,0.27480915,0.45238096,0.34057972,0.232,0.568,0.36764705,0.26241136,0.18181819,0.22857143,0.25342464,0.29545453,0.35714287,0.61271673,0.25581396,0.24603175,0.20689656,0.15447155,0.21551724,0.1590909,0.14685315,0.13475177,0.21052632,0.25974026,0.21481481,0.19205298,0.192,0.09352518,0.19318181,0.25730994,0.2247191,0.1978022,0.24352331,0.3218391,0.43529412,0.4390244,0.62,0.64044946,0.5470588,0.5960591,0.46596858,0.41573033,0.86549705,0.74860334,0.65789473,0.6034483,0.9130435,1.08,0.70718235,0.7134503,0.9791667,
Sintra,0.0,0.41530055,0.3392857,0.42105263,0.68503934,0.6666667,1.0272108,0.8345324,1.1857142,1.1351352,0.9435484,0.6530612,0.31782946,0.0,0.034188036,0.008333334,0.047169812,0.0062111802,0.015625,0.029126214,0.0,0.016528925,0.0,0.008333334,0.009009009,0.015873017,0.014084507,0.013793103,0.0,0.0,0.007518797,0.0,0.0,0.0,0.007246377,0.008695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005882353,0.0,0.0,0.0,0.0,0.0,0.016304348,0.017441861,0.0,0.0,0.0056497175,0.0,0.0,0.004901961,0.0,0.016129032,0.010362694,0.005376344,0.0,0.017142856,0.015075377,0.0,0.0088495575,0.0046948357,0.0,0.004950495,0.010695187,0.0,0.0,0.0,0.008928572,0.004651163,0.0,0.005,0.0,0.010309278,0.0,0.011583012,0.0,0.0046948357,0.0,0.0074626864,0.0,0.0,0.009771987,0.0,0.0,0.0,0.006557377,0.0032467532,0.009771987,0.0,0.0,0.006329114,0.009009009,0.022727273,0.0031347962,0.0,0.008108108,0.0028248588,0.002770083,0.027906977,0.008310249,0.007874016,0.002444988,0.0,0.02676399,0.0,0.033860046,0.025229357,0.033163264,0.0,
VilaFrancaDeXira,0.0,0.9375,1.6764706,1.4647887,1.5348837,1.4363636,0.8695652,0.95454544,0.78,1.5294118,1.9787234,1.559322,0.825,0.31428573,0.36363637,0.08571429,0.0,0.0,0.057142857,0.0,0.046511628,0.03846154,0.0,0.0,0.02631579,0.0,0.0,0.078947365,0.0,0.0,0.0,0.057142857,0.027027028,0.022222223,0.01923077,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.033333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.01010101,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.016260162,0.0074074073,0.0,0.007352941,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,
Alcochete,0.0,1.0,1.2,2.0,2.45,3.1052632,3.8181818,2.7027028,3.9285715,3.1333334,2.580645,1.1764706,0.9411765,0.5555556,0.6111111,0.15,0.0,0.0,0.05882353,0.0,0.055555556,0.0,0.083333336,0.11111111,0.2173913,0.44444445,0.2857143,0.29166666,0.14285715,0.0952381,0.22727273,0.24,0.35714287,0.5833333,0.16666667,0.61290324,0.22222222,0.45833334,0.2173913,0.35714287,0.3846154,1.1363636,0.41666666,0.9285714,0.61904764,0.5,0.4,1.1666666,0.5882353,0.4375,0.48,0.0625,0.4642857,0.45454547,0.7692308,0.3846154,0.13333334,1.1111112,0.7,0.45454547,0.0,0.0,0.1,0.06666667,0.07692308,0.1,0.25,0.0,0.0,0.18181819,0.6363636,0.0,0.11111111,0.125,0.2,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263158,0.0,0.4,0.0,0.11111111,
